source,target,weight
11,22,11
11,13,4
11,25,8
13,22,4
13,25,1
22,25,4
11,15,25
15,22,4
15,25,1
11,16,26
13,15,15
13,16,3
15,16,4
16,22,1
6,11,11
6,20,18
6,22,2
6,25,1
6,27,4
11,20,9
11,27,3
20,22,3
20,25,2
20,27,2
22,27,1
25,27,2
5,21,1
5,22,1
21,22,1
4,11,7
4,22,1
12,22,2
12,25,1
1,13,6
1,15,3
1,20,1
1,22,1
13,20,6
15,20,6
7,22,1
6,9,33
6,10,5
6,19,12
6,24,16
6,26,19
9,10,4
9,19,18
9,20,3
9,24,11
9,26,28
10,19,3
10,20,15
10,24,3
10,26,3
19,20,3
19,24,10
19,26,14
20,24,3
20,26,2
24,26,9
8,19,2
7,18,3
7,11,2
7,29,1
11,29,5
7,16,3
7,27,2
16,27,2
7,9,1
7,21,1
7,10,2
7,20,9
7,14,5
14,20,19
11,14,3
7,17,2
4,7,1
4,17,1
11,23,2
9,23,3
19,23,1
14,21,18
14,23,3
14,24,3
21,23,2
21,24,2
23,24,3
11,21,5
11,24,2
13,21,2
15,21,2
20,21,17
4,15,2
6,13,2
6,15,2
1,11,17
11,17,2
15,17,1
2,12,3
2,18,1
12,18,3
2,21,7
1,2,1
1,12,1
2,11,1
2,13,1
11,12,4
12,13,1
2,4,3
2,6,6
2,8,5
4,6,5
4,8,4
4,21,5
6,8,33
6,21,14
8,21,8
1,5,6
5,11,5
3,5,1
4,5,11
5,6,1
5,16,3
6,16,8
5,12,1
1,4,5
4,28,1
4,27,2
4,16,4
16,21,3
9,16,7
16,26,4
4,9,3
4,24,2
9,27,8
24,27,1
9,11,5
11,26,4
9,17,2
26,27,2
9,14,4
4,19,1
4,26,3
19,27,1
9,25,1
9,29,1
26,29,3
1,3,16
3,11,9
3,29,7
3,27,2
3,16,3
3,14,3
3,15,1
1,10,2
3,10,2
3,17,1
3,18,3
17,18,1
3,7,1
3,13,1
7,13,1
8,11,6
8,16,9
8,20,3
16,20,4
16,18,6
1,16,5
8,18,4
11,18,4
18,21,7
4,18,1
4,29,1
16,29,2
18,29,2
8,24,1
16,24,1
21,29,1
1,9,1
1,17,1
16,17,1
25,26,3
25,29,2
27,29,1
8,12,1
12,21,1
8,26,2
8,27,1
18,27,1
10,27,1
10,11,3
10,21,1
4,10,1
4,20,1
14,29,1
11,28,1
25,28,1
27,28,1
6,17,2
17,27,1
17,20,1
21,28,1
6,14,7
6,18,3
9,18,1
5,8,1
5,20,1
14,27,3
14,16,1
8,13,1
13,18,1
