paper_id,author_id
1,11
1,22
2,22
3,11
3,22
4,11
4,13
4,22
4,25
5,22
6,22
7,11
7,22
8,11
8,15
8,22
8,25
9,11
9,22
10,22
11,11
11,22
12,22
13,11
13,13
13,15
13,16
13,22
14,22
15,11
15,22
16,6
16,11
16,20
16,22
16,25
16,27
17,22
18,21
18,5
18,22
19,4
19,22
19,11
20,22
21,22
22,22
22,25
22,12
23,22
24,22
25,22
26,1
26,13
26,15
26,20
26,22
27,22
28,12
28,22
29,22
30,22
31,22
32,22
33,22
34,13
34,15
34,20
34,22
35,22
35,7
36,22
37,22
38,6
38,9
38,10
38,19
38,20
38,24
38,26
39,19
40,19
41,19
42,6
42,9
42,19
42,24
42,26
43,19
44,8
44,19
45,19
45,6
46,28
47,28
48,7
49,18
49,7
50,11
50,29
50,7
51,7
52,16
52,27
52,7
53,7
54,9
54,7
55,7
56,7
57,7
58,7
59,7
60,21
60,7
61,7
62,16
62,7
63,7
64,20
64,7
64,10
65,18
65,7
66,7
67,7
68,7
69,7
70,7
71,20
71,7
71,10
72,18
72,7
73,20
73,7
73,14
74,7
75,7
76,7
77,7
77,11
77,14
78,7
79,7
80,7
81,20
81,7
82,7
83,20
83,7
84,20
84,7
84,14
85,20
85,7
86,7
87,7
88,7
89,7
90,7
91,20
91,7
92,7
93,7
94,7
95,7
96,7
97,7
98,7
99,7
100,7
101,7
102,7
103,7
104,14
104,7
105,7
106,17
106,7
107,7
108,7
109,7
110,7
111,7
112,7
113,7
114,7
115,7
116,7
117,7
118,7
119,27
119,7
120,16
120,7
121,7
122,7
123,7
124,7
125,7
126,7
127,7
128,7
129,7
130,7
131,7
132,7
133,17
133,4
133,7
134,7
135,28
135,7
136,7
137,23
138,11
138,23
139,9
139,23
140,19
140,23
140,9
141,23
142,14
142,21
142,23
142,24
143,11
143,14
143,21
143,23
143,24
144,23
144,24
144,14
145,23
146,23
147,15
148,15
149,11
149,15
150,15
151,15
152,11
152,15
153,15
154,13
154,15
155,15
156,13
156,15
156,20
156,21
157,15
158,11
158,15
159,15
160,15
161,4
161,15
162,15
163,11
163,15
164,11
164,15
165,11
165,15
166,15
167,13
167,15
168,13
168,15
169,15
170,11
170,15
171,11
171,15
172,15
173,13
173,15
174,11
174,15
175,11
175,15
176,15
177,15
178,16
178,15
179,11
179,15
180,15
181,15
182,15
183,15
184,15
185,15
186,20
186,13
186,15
187,15
188,13
188,15
189,11
189,15
190,11
190,15
191,11
191,15
192,20
192,6
192,13
192,15
193,15
194,15
195,4
195,15
196,15
197,15
198,15
199,15
200,15
201,15
202,15
203,21
203,15
204,15
205,15
206,11
206,15
207,15
208,15
209,15
210,20
210,13
210,15
211,15
212,13
212,15
213,15
214,15
215,11
215,15
216,11
216,15
217,16
217,15
218,11
218,15
219,1
219,11
219,13
219,15
220,17
220,11
220,15
221,15
222,11
222,15
223,15
224,16
224,15
225,11
225,15
226,11
226,15
227,2
227,18
227,12
228,2
228,21
229,2
229,12
230,1
230,2
230,11
230,12
230,13
231,2
231,21
232,2
232,4
232,6
232,8
232,21
233,8
233,2
233,21
233,6
234,2
234,4
234,6
234,8
234,21
235,1
235,5
235,11
236,5
237,5
238,5
239,1
239,11
239,5
240,1
240,5
240,11
241,5
242,3
242,5
243,5
244,4
244,5
245,5
246,5
247,4
247,5
248,4
248,5
249,4
249,5
250,5
251,4
251,5
252,1
252,5
252,11
253,16
253,5
253,6
254,16
254,5
255,4
255,5
256,12
256,5
257,1
257,4
257,5
258,1
258,4
258,5
259,5
260,4
260,5
261,4
261,5
262,4
262,5
263,4
263,21
264,4
265,4
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,28
275,4
276,4
277,8
277,4
278,4
279,4
280,27
280,4
281,4
282,4
283,4
284,4
285,4
286,16
286,4
286,21
287,4
288,4
289,4
290,4
291,4
292,9
293,9
293,26
294,9
295,9
296,16
296,9
296,26
297,9
297,26
298,9
299,4
299,6
299,9
299,24
299,27
300,6
300,9
300,26
301,9
302,16
302,9
302,26
303,9
304,9
304,11
304,24
304,26
305,9
305,6
306,9
306,17
307,9
307,26
308,6
308,9
308,26
309,6
309,9
309,27
310,9
310,26
310,27
311,6
311,9
311,11
312,6
312,9
312,19
312,24
312,26
313,9
314,9
314,6
315,9
316,9
317,9
317,6
318,9
319,9
319,14
320,9
321,19
321,9
321,26
322,6
322,9
322,19
322,24
322,26
323,9
323,4
324,4
324,6
324,9
324,19
324,24
324,26
325,9
325,27
326,9
326,6
327,9
328,9
329,6
329,9
329,26
330,9
331,9
332,16
332,9
332,27
333,19
333,9
333,26
334,6
334,9
334,19
334,24
334,26
335,9
336,9
337,9
337,11
338,9
338,6
339,9
339,14
340,9
341,9
341,6
342,9
343,9
344,9
345,9
345,6
346,9
347,19
347,9
347,26
348,9
348,19
348,26
348,27
349,9
349,10
349,19
349,20
349,24
350,9
350,11
351,9
351,26
352,9
352,27
353,9
353,25
354,9
354,6
355,16
355,9
355,26
356,9
357,6
357,9
357,10
357,19
357,20
357,24
357,26
358,9
359,9
359,26
360,9
361,19
361,9
361,26
362,9
362,26
362,29
363,6
363,9
363,19
363,24
363,26
364,9
365,9
365,6
366,9
366,6
367,9
368,9
368,6
369,9
369,19
370,9
370,23
371,9
372,9
372,14
373,9
373,14
374,9
374,19
375,9
375,19
376,9
376,10
377,9
378,9
379,9
380,16
380,9
380,26
381,9
382,9
383,9
384,3
385,3
386,3
387,3
388,1
388,3
388,11
389,3
390,3
391,3
392,1
392,3
392,11
393,3
394,3
395,3
395,29
396,3
397,1
397,3
397,11
398,3
398,29
399,3
400,3
401,3
402,3
403,1
403,3
404,27
404,3
405,3
405,29
406,3
407,1
407,3
407,11
408,1
408,3
409,3
410,3
411,3
412,3
413,1
413,3
413,11
414,16
414,3
415,3
416,3
417,3
418,3
419,3
419,14
420,3
421,3
422,3
423,3
424,3
425,11
425,3
426,3
427,3
428,3
429,1
429,3
429,15
430,3
431,3
432,3
433,3
434,3
435,1
435,3
435,10
436,3
437,3
437,29
438,3
439,3
439,29
440,27
440,3
441,3
441,29
442,3
443,3
444,3
444,29
445,11
445,3
446,3
447,17
447,18
447,3
448,3
449,1
449,3
449,11
450,11
450,1
450,3
451,3
452,3
453,16
453,3
454,3
454,14
455,3
456,18
456,3
457,3
457,13
457,7
458,18
458,3
459,3
460,3
461,3
462,1
462,3
463,6
463,8
463,11
463,16
463,20
464,6
464,11
464,16
464,20
465,16
465,11
466,16
466,11
467,16
468,16
469,16
470,16
471,16
472,16
473,16
474,16
474,18
475,16
476,16
477,16
478,16
478,11
479,16
479,1
479,13
480,16
481,16
482,16
482,11
483,16
483,11
484,16
485,16
486,16
487,16
488,16
489,16
489,11
490,16
491,16
492,16
493,8
493,11
493,16
493,18
493,21
494,16
494,11
495,16
496,16
497,16
498,16
499,16
500,4
500,11
500,16
500,18
500,29
501,6
501,8
501,16
501,24
502,16
502,18
503,16
504,16
505,11
505,16
505,18
505,21
505,29
506,16
506,11
507,8
507,16
507,11
507,6
508,16
508,6
508,8
509,16
510,16
511,16
512,16
513,8
513,16
514,16
514,3
515,16
515,1
515,13
516,16
516,11
