ID,Name,Specialities,GoogleScholarID,potential_aliases
1,Subaryono,GIS; Environment,XcyOfG8AAAAJ,Subaryono; Subaryono Subaryono; Subaryono S; S Subaryono
2,Waljiyanto,Geodesy; Geomatics; GIS; Land Valuation,bf6K4O0AAAAJ,Waljiyanto; Waljiyanto Waljiyanto; W Waljiyanto; Waljiyanto W
3,Harintaka,Photogrammetry; Remote Sensing; Geomatics; Geodesy,XliPgAcAAAAJ,Harintaka; Harintaka Harintaka; H Harintaka; Harintaka H
4,Prijono Nugroho Djodjomartono,Photogrammetry; Land Administration,5xOGpFkAAAAJ,"Djodjomartono, P.; Djodjomartono, P. N.; Djodjomartono, Prijono; Djodjomartono, Prijono N.; P Djodjomartono; P. Djodjomartono; P. N. Djodjomartono; P.N. Djodjomartono; PN Djodjomartono; Prijono Djodjomartono; Prijono N Djodjomartono"
5,Djurdjani Wardaya,Photogrammetry; Land Development; Remote Sensing,-0SOAIQAAAAJ,"D Wardaya; D. Wardaya; Wardaya, D.; Wardaya, Djurdjani"
6,Nurrohmat Widjajanti,GNSS; Satellite Positioning; Deformation; Geodynamics; Adjustment; Computation,U-w8I4UAAAAJ,"N Widjajanti; N. Widjajanti; Widjajanti, N.; Widjajanti, Nurrohmat"
7,Catur Aries Rokhmana,Photogrammetry; Remote Sensing; Low-Cost Survey,Z5OOseEAAAAJ,"C Rokhmana; C. A. Rokhmana; C. Rokhmana; C.A. Rokhmana; CA Rokhmana; Catur A Rokhmana; Catur Rokhmana; Rokhmana, C.; Rokhmana, C. A.; Rokhmana, Catur; Rokhmana, Catur A."
8,Yulaikhah,Geodesy,2vN-lF4AAAAJ,Yulaikhah; Yulaikhah Yulaikhah; Y Yulaikhah; Yulaikhah Y
9,Leni Sophia Heliani,Geodesy; Geomatics,0JvcXp4AAAAJ,"Heliani, L.; Heliani, L. S.; Heliani, Leni; Heliani, Leni S.; L Heliani; L. Heliani; L. S. Heliani; L.S. Heliani; LS Heliani; Leni Heliani; Leni S Heliani"
10,Bilal Ma'ruf,GNSS,slbE0KsAAAAJ,"B Ma'ruf; B. Ma'ruf; Ma'ruf, B.; Ma'ruf, Bilal"
11,Trias Aditya Kurniawan M,Geoinformatics; Spatial Data Infrastructure; Cartography; Geovisualization; Land Informatics,oGizjNoAAAAJ,"Aditya, T.; Aditya, Trias; T Aditya; T Aditya Kurniawan M; T. A. K. M; T. Aditya; T.A.K. M; TAK M; Trias A K M; Trias Aditya; Trias Aditya K M; Trias Aditya Kurniawan"
12,Rochmad Muryamto,Geomatics,oShZECIAAAAJ,"Muryamto, R.; Muryamto, Rochmad; R Muryamto; R. Muryamto"
13,Diyono,Geomatics; Survey Mapping ,cm7zI5cAAAAJ,Diyono; Diyono Diyono; D Diyono; Diyono D
14,Abdul Basith,Hydrography and Law of the Sea; Geo-Marine; Ocean Remote Sensing,weadN_wAAAAJ,"A Basith; A. Basith; Basith, A.; Basith, Abdul"
15,Heri Sutanta,GIS; Geomatics; Spatial Data Infrastructure; Spatial Planning; Spatial Governance; Disaster Risk Reduction,_D477zkAAAAJ,"H Sutanta; H. Sutanta; Sutanta, H.; Sutanta, Heri"
16,Purnama Budi Santosa,GIS; Spatial Modeling; Spatial Data Infrastructure,7IR6W1IAAAAJ,"P Santosa; P. B. Santosa; P. Santosa; P.B. Santosa; PB Santosa; Purnama B Santosa; Purnama Santosa; Santosa, P.; Santosa, P. B.; Santosa, Purnama; Santosa, Purnama B."
17,I Made Andi Arsana, Hydrography and Law of the Sea; Maritime Boundaries; Geospatial,x2N_jBcAAAAJ,"Arsana, I; Arsana, I M. A.; Arsana, I.; Arsana, I. M. A.; I Arsana; I M A Arsana; I. Arsana; I. M. A. Arsana; I.M.A. Arsana; IMA Arsana"
18,Ruli Andaru,Photogrammetry; Surveying; Laser Scanning; UAV,FnYEE7AAAAAJ,"Andaru, R.; Andaru, Ruli; R Andaru; R. Andaru"
19,Dwi Lestari,Geodesy,_zEKbnoAAAAJ,"D Lestari; D. Lestari; Lestari, D.; Lestari, Dwi"
20,Dedi Atunggal SP.,GNSS; Satellite Positioning; Geosensor; 3D Modeling; Geovisualization,jlJ_M_MAAAAJ,"Atunggal, D.; Atunggal, D. SP.; Atunggal, Dedi; Atunggal, Dedi SP.; D Atunggal; D Atunggal SP.; D. Atunggal; D. Atunggal SP."
21,Bambang Kun Cahyono,Geomatics; Geodetic Engineering,g3m5JIYAAAAJ,"B Cahyono; B. Cahyono; B. K. Cahyono; B.K. Cahyono; BK Cahyono; Bambang Cahyono; Bambang K Cahyono; Cahyono, B.; Cahyono, B. K.; Cahyono, Bambang; Cahyono, Bambang K."
22,Dany Puguh Laksono,Geoinformatics; Geovisualization; Visual Analytics,LsZIhbcAAAAJ,"D Laksono; D. Laksono; D. P. Laksono; D.P. Laksono; DP Laksono; Dany Laksono; Dany P Laksono; Laksono, D.; Laksono, D. P.; Laksono, Dany; Laksono, Dany P."
23,Maritsa Faridatunnisa,Hydrography and Law of the Sea; Geodesy; Oceanography,vWyXz6UAAAAJ,"Faridatunnisa, M.; Faridatunnisa, Maritsa; M Faridatunnisa; M. Faridatunnisa"
24,Hilmiyati Ulinnuha,Geodesy,PAAVcXcAAAAJ,"H Ulinnuha; H. Ulinnuha; Ulinnuha, H.; Ulinnuha, Hilmiyati"
25,Febrian Fitryanik Susanta,Geoinformatics,DWIm4joAAAAJ,"F Susanta; F. F. Susanta; F. Susanta; F.F. Susanta; FF Susanta; Febrian F Susanta; Febrian Susanta; Susanta, F.; Susanta, F. F.; Susanta, Febrian; Susanta, Febrian F."
26,Cecep Pratama,Geodesy; Tectonic Geodesy; Earthquake Physics; Seismic Hazard; Seismic Risk,5YFJgTQAAAAJ,"C Pratama; C. Pratama; Pratama, C.; Pratama, Cecep"
27,Mohamad Bagas Setiawan,Photogrammetry; Surveying; Laser Scanning; 3D Modeling; LiDAR,D85HnqsAAAAJ,"M Setiawan; M. B. Setiawan; M. Setiawan; M.B. Setiawan; MB Setiawan; Mohamad B Setiawan; Mohamad Setiawan; Setiawan, M.; Setiawan, M. B.; Setiawan, Mohamad; Setiawan, Mohamad B."
28,Ressy Fitria,Remote Sensing; GIS; Land Surface Model; Climate Change,DzYo93AAAAAJ,"Fitria, R.; Fitria, Ressy; R Fitria; R. Fitria"
29,Calvin Wijaya,Remote Sensing; Photogrammetry; Deep Learning; LiDAR; Point Cloud,xFUhWQkAAAAJ,"C Wijaya; C. Wijaya; Wijaya, C.; Wijaya, Calvin"
