paper_id,author_id
1,11
1,22
2,22
3,11
3,22
4,11
4,13
4,22
4,25
5,22
6,22
7,11
7,22
8,11
8,15
8,22
8,25
9,11
9,22
10,22
11,11
11,22
12,22
13,11
13,13
13,15
13,16
13,22
14,22
15,11
15,22
16,6
16,11
16,20
16,22
16,25
16,27
17,22
18,21
18,5
18,22
19,4
19,22
19,11
20,22
21,22
22,22
22,25
22,12
23,22
24,22
25,22
26,1
26,13
26,15
26,20
26,22
27,22
28,12
28,22
29,22
30,22
31,22
32,22
33,22
34,13
34,15
34,20
34,22
35,22
35,7
36,22
37,22
38,6
38,9
38,10
38,19
38,20
38,24
38,26
39,19
40,19
41,19
42,6
42,9
42,19
42,24
42,26
43,19
44,8
44,19
45,19
45,6
46,28
47,28
48,7
49,18
49,7
50,11
50,29
50,7
51,7
52,16
52,27
52,7
53,7
54,9
54,7
55,7
56,7
57,7
58,7
59,7
60,21
60,7
61,7
62,16
62,7
63,7
64,20
64,7
64,10
65,18
65,7
66,7
67,7
68,7
69,7
70,7
71,20
71,7
71,10
72,18
72,7
73,20
73,7
73,14
74,7
75,7
76,7
77,7
77,11
77,14
78,7
79,7
80,7
81,20
81,7
82,7
83,20
83,7
84,20
84,7
84,14
85,20
85,7
86,7
87,7
88,7
89,7
90,7
91,20
91,7
92,7
93,7
94,7
95,7
96,7
97,7
98,7
99,7
100,7
101,7
102,7
103,7
104,14
104,7
105,7
106,17
106,7
107,7
108,7
109,7
110,7
111,7
112,7
113,7
114,7
115,7
116,7
117,7
118,7
119,27
119,7
120,16
120,7
121,7
122,7
123,7
124,7
125,7
126,7
127,7
128,7
129,7
130,7
131,7
132,7
133,17
133,4
133,7
134,7
135,7
136,23
137,11
137,23
138,9
138,23
139,19
139,23
139,9
140,23
141,14
141,21
141,23
141,24
142,11
142,14
142,21
142,23
142,24
143,23
143,24
143,14
144,23
145,23
146,15
147,15
148,11
148,15
149,15
150,15
151,11
151,15
152,15
153,13
153,15
154,15
155,13
155,15
155,20
155,21
156,15
157,11
157,15
158,15
159,15
160,4
160,15
161,15
162,11
162,15
163,11
163,15
164,11
164,15
165,15
166,13
166,15
167,13
167,15
168,15
169,11
169,15
170,11
170,15
171,15
172,13
172,15
173,11
173,15
174,11
174,15
175,15
176,15
177,16
177,15
178,11
178,15
179,15
180,15
181,15
182,15
183,15
184,15
185,20
185,13
185,15
186,15
187,13
187,15
188,11
188,15
189,11
189,15
190,11
190,15
191,20
191,6
191,13
191,15
192,15
193,15
194,4
194,15
195,15
196,15
197,15
198,15
199,15
200,15
201,15
202,21
202,15
203,15
204,15
205,11
205,15
206,15
207,15
208,15
209,20
209,13
209,15
210,15
211,13
211,15
212,15
213,15
214,11
214,15
215,11
215,15
216,16
216,15
217,11
217,15
218,1
218,11
218,13
218,15
219,17
219,11
219,15
220,15
221,11
221,15
222,15
223,16
223,15
224,11
224,15
225,11
225,15
226,2
226,18
226,12
227,2
227,21
228,2
228,12
229,1
229,2
229,11
229,12
229,13
230,2
230,21
231,2
231,4
231,6
231,8
231,21
232,8
232,2
232,21
232,6
233,2
233,4
233,6
233,8
233,21
234,1
234,5
234,11
235,5
236,5
237,5
238,1
238,11
238,5
239,1
239,5
239,11
240,5
241,3
241,5
242,5
243,4
243,5
244,5
245,5
246,4
246,5
247,4
247,5
248,4
248,5
249,5
250,4
250,5
251,1
251,5
251,11
252,16
252,5
252,6
253,16
253,5
254,4
254,5
255,12
255,5
256,1
256,4
256,5
257,1
257,4
257,5
258,5
259,4
259,5
260,4
260,5
261,4
261,5
262,4
262,21
263,4
264,4
265,4
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,28
274,4
275,4
276,8
276,4
277,4
278,4
279,27
279,4
280,4
281,4
282,4
283,4
284,4
285,16
285,4
285,21
286,4
287,4
288,4
289,4
290,4
291,9
292,9
292,26
293,9
294,9
295,16
295,9
295,26
296,9
296,26
297,9
298,4
298,6
298,9
298,24
298,27
299,6
299,9
299,26
300,9
301,16
301,9
301,26
302,9
303,9
303,11
303,24
303,26
304,9
304,6
305,9
305,17
306,9
306,26
307,6
307,9
307,26
308,6
308,9
308,27
309,9
309,26
309,27
310,6
310,9
310,11
311,6
311,9
311,19
311,24
311,26
312,9
313,9
313,6
314,9
315,9
316,9
316,6
317,9
318,9
318,14
319,9
320,19
320,9
320,26
321,6
321,9
321,19
321,24
321,26
322,9
322,4
323,4
323,6
323,9
323,19
323,24
323,26
324,9
324,27
325,9
325,6
326,9
327,9
328,6
328,9
328,26
329,9
330,9
331,16
331,9
331,27
332,19
332,9
332,26
333,6
333,9
333,19
333,24
333,26
334,9
335,9
336,9
336,11
337,9
337,6
338,9
338,14
339,9
340,9
340,6
341,9
342,9
343,9
344,9
344,6
345,9
346,19
346,9
346,26
347,9
347,19
347,26
347,27
348,9
348,10
348,19
348,20
348,24
349,9
349,11
350,9
350,26
351,9
351,27
352,9
352,25
353,9
353,6
354,16
354,9
354,26
355,9
356,6
356,9
356,10
356,19
356,20
356,24
356,26
357,9
358,9
358,26
359,9
360,19
360,9
360,26
361,9
361,26
361,29
362,6
362,9
362,19
362,24
362,26
363,9
364,9
364,6
365,9
365,6
366,9
367,9
367,6
368,9
368,19
369,9
369,23
370,9
371,9
371,14
372,9
372,14
373,9
373,19
374,9
374,19
375,9
375,10
376,9
377,9
378,9
379,16
379,9
379,26
380,9
381,9
382,9
383,3
384,3
385,3
386,3
387,1
387,3
387,11
388,3
389,3
390,3
391,1
391,3
391,11
392,3
393,3
394,3
394,29
395,3
396,1
396,3
396,11
397,3
397,29
398,3
399,3
400,3
401,3
402,1
402,3
403,27
403,3
404,3
404,29
405,3
406,1
406,3
406,11
407,1
407,3
408,3
409,3
410,3
411,3
412,1
412,3
412,11
413,16
413,3
414,3
415,3
416,3
417,3
418,3
418,14
419,3
420,3
421,3
422,3
423,3
424,11
424,3
425,3
426,3
427,3
428,1
428,3
428,15
429,3
430,3
431,3
432,3
433,3
434,1
434,3
434,10
435,3
436,3
436,29
437,3
438,3
438,29
439,27
439,3
440,3
440,29
441,3
442,3
443,3
443,29
444,11
444,3
445,3
446,17
446,18
446,3
447,3
448,1
448,3
448,11
449,11
449,1
449,3
450,3
451,3
452,16
452,3
453,3
453,14
454,3
455,18
455,3
456,3
456,13
456,7
457,18
457,3
458,3
459,3
460,3
461,1
461,3
462,6
462,8
462,11
462,16
462,20
463,6
463,11
463,16
463,20
464,16
464,11
465,16
465,11
466,16
467,16
468,16
469,16
470,16
471,16
472,16
473,16
473,18
474,16
475,16
476,16
477,16
477,11
478,16
478,1
478,13
479,16
480,16
481,16
481,11
482,16
482,11
483,16
484,16
485,16
486,16
487,16
488,16
488,11
489,16
490,16
491,16
492,8
492,11
492,16
492,18
492,21
493,16
493,11
494,16
495,16
496,16
497,16
498,16
499,4
499,11
499,16
499,18
499,29
500,6
500,8
500,16
500,24
501,16
501,18
502,16
503,16
504,11
504,16
504,18
504,21
504,29
505,16
505,11
506,8
506,16
506,11
506,6
507,16
507,6
507,8
508,16
509,16
510,16
511,16
512,8
512,16
513,16
513,3
514,16
514,1
514,13
515,16
515,11
516,16
517,16
